id,name,orig_name,straight_position,inverted_position
40,Десятка Кубков,Ten of Cups,"Десятка кубков символизирует счастливую и гармоничную семейную жизнь. Счастье будет продолжительным, принесет массу положительных эмоций. Человек, делающий расклад, добьется многого в духовной сфере, отчего испытает неописуемую радость. Все дела будут благополучно завершены. Карта может предзнаменовать начало какого-то нового этапа в жизни, что принесет с собой душевное спокойствие и гармонию.

Гадающий открыт сейчас к общению как никогда, он испытывает позитивные чувства при любом виде взаимодействия с людьми. Возможно, кто-то окажет помощь, которая сильно повлияет на решение важного вопроса. Вследствие этого вас переполнит чувство благодарности.

Есть вероятность, что в работе все будет удачно, скорее всего, ждет профессиональный рост. Кроме того, начнется пора активных знакомств, которые являют собой полезные связи. В ближайшее время, словно по мановению волшебной палочки, мечты начнут исполняться. Успех будет преследовать по пятам, поделитесь им с окружающими. Таким образом, вы будете чувствовать себя защищенным.

В скором времени, может ждать счастливая пора: возможен брак либо путешествие в страну, где гадающий давно хотел побывать.","Карта связана с успехом и гармонией в семье. Перевернутое положение Аркана являет собой нарушение спокойствия в браке, в общении с родителями или детьми. Часто будут возникать ссоры. Возможно, кто-то из близких вас предаст. Фортуна отворачивается и покидает. Успешное разрешение дел отодвигается на неопределенный период, возможно, его не будет вовсе.

Часто карта символизирует войну бунтующих подростков и родителей. Происходит конфликт интересов, полностью отсутствует взаимопонимание. Особенно тяжело приходится родителю, который воспитывает ребенка самостоятельно.

Иногда Десятка Кубков предзнаменует несерьезное любовное приключение, у которого нет будущего. Он продлится недолго, положительных эмоций будет мало."
41,Девятка Кубков,Nine of Cups,"Если в раскладе выпадает эта карта, то в будущем ожидает успех в материальном плане, хороший достаток. Наступает светлая полоса, эмоциональное удовольствие, а также интеллектуальное. Здоровью не угрожают никакие проблемы. Любые цели, которые намечаются, могут воплотиться в жизнь.

В целом, наступающий период очень хорош для любых начинаний, исполнения желаний. Скоро ожидает череда приятных событий. Компания, с которой проходят дружеские посиделки, будет весела и беззаботна. С ней вы вспомните лучшие годы свой жизни. Что касается карьеры, то на работе коллектив очень надежный, отзывчивый.

В личных отношениях наступит полная гармония и взаимопонимание с партнером, возможен долгожданный брак или рождение желанного ребенка. Будьте более снисходительны к себе, однако остерегайтесь излишеств. Проводите время с людьми, у которых отличное чувство юмора. Они научат наслаждаться жизнью.","Не следует злоупотреблять продуктами питания или напитками (особенно алкогольными), такое поведение обязательно приведет к проблемам со здоровьем. Наступает период затишья, когда достигнуть цели тяжело, решение проблемы уже близко, но постоянно что-то мешает завершить процесс до конца. Проявите терпение, фортуна обязательно будет благосклонна, но не сейчас.

Карта может свидетельствовать о том, что в скором времени гадающий человек чего-то лишится, его ждет жестокое разочарование, ведущее к страданиям и упадку духа. В душе образуется пустота, которую захочется наполнить вредными привычками. Аркан предостерегает от такого поведения, необходимо просто пережить этот период жизни, это неуважительно по отношению к своему телу, которое повлечет опасные проблемы со здоровьем.

Окружающих может отталкивать тот факт, что человек, делающий расклад, излишне сосредоточен на своих проблемах и делах. У него не остается времени на семью и друзей, он замыкается в себе. Девятка Кубков в перевернутой позиции является знаком жадности, жестокости, тщеславия."
42,Восьмерка Кубков,Eight of Cups,"Выпадает карта, как правило, человеку, который ищет по жизни все больше новых благ, при этом они все у него перед носом. Часто карта символизирует отказ от мирского вследствие разочарования, переходного периода. В итоге начинается поиск духовного пути.

Восьмерка Кубков дает совет искать новые ощущение и возможности, оставив в прошлом людей и вещи, которые вызывают отвращение к жизни, стали рутинными. Поиск всегда создает чувство неуверенности в завтрашнем дне, но это адекватная реакция, вы на правильном пути. Указывая на отношения, Аркан дает понять, что партнер не идеален.

Если в жизни происходит полная катастрофа, Восьмерка Кубков говорит, что беды покинут через лунный месяц. Тогда все наладится. Помочь решить проблемы сможет некая светловолосая девушка или женщина. Это не обязательно будет родственник или старый друг, возможно, новая знакомая. Следует быть скромнее, перестаньте лгать людям, таким образом, вы сами впутываете себя в неприятные ситуации, для которых придется искать выход.

Иногда Восьмерка Кубков предзнаменует путешествие либо переезд в другой город или даже страну. Есть вероятность, что человек больше не получает морального удовлетворения, находясь в семье, ему это не нужно. Материальные блага – вот, что заполняет все его мысли и мечты.","Карта в перевернутом положении – символ совершенной ошибки, когда гадающий все бросил ради бессмысленного поиска смысла жизни. У человека яркое ощущение того, что он живет не своей жизнью. Либо это явный символ отказа от всего духовного в пользу получения мирских удовольствий.

Часто Аркан предзнаменует появление новой любви и отношений. Задания, которые были намечены, увенчаются успехом, что создаст чувство удовлетворенности. Противоположный пол начнет неожиданно активно проявлять знаки внимания. Выпадение карты – сигнал к поиску партнера, сама судьба посылает множество вариантов.

Трудные кризисные времена подходят к финальной черте. На этом этапе многие совершают ошибку, останавливаясь на достигнутом. Так вы не сможете расти как личность. Не цепляйтесь за прошлое, ничем хорошим это не кончится. Отпустите от себя воспоминания, особенно плохие. Наступают времена праздничных дней."
43,Семерка Кубков,Seven of Cups,"Основное значение карты заключается в том, что каждый выбор, над которым гадающий раздумывает, уже предопределен судьбой, то есть сам факт выбора – иллюзия, обман. Кроме того, карта может трактоваться и как ошибочный выбор, который не несет ничего хорошего в себе. Указывает Аркан в некоторых случаях и на то, что вариантов слишком много, сложно определиться, прийти к единственно верному решению.

Семерка Кубков иногда является символом человека, который живет мечтами, не желая находится в реальности. Особенно этим грешат влюбленные женщины, они идеализируют партнера, не желая замечать очевидные плохие черты его характера. Тогда карта предзнаменует событие, которое вернет в реальность, принесет разочарования. Аркан может предостерегать гадающего об обмане, проблемах со здоровьем на фоне злоупотребления спиртными напитками или даже наркотиками.

Иногда Семерка Кубков – знак помощи и поддержи близких, когда это действительно необходимо на пути к достижению цели. Помощь нельзя отвергать, иначе благоприятного исхода можно не ожидать.","В такой позиции Аркан также трактуется как ошибочный выбор, но повлекший за собой осложнения и дополнительные проблемы, решение которых также предстоит найти. Семерка Кубков в таком положении символизирует человека, который находится в реальном мире, ему предстоит решать задачи и достигать поставленных целей.

Если расклад получился негативным, то карта является знаком разочарования и упущенных возможностей, которые могли поднять жизнь гадающего на новый уровень. Есть вероятность того, что возможности не использованы из-за страха успеха.
Тот, кто делает расклад, просто не поймет, как вести себя в ситуации, когда судьба сменит гнев на милость, щедро одарив удачей в делах. Аркан в некоторых случаях обозначает верный выбор, который повлечет удачу во всех делах."
44,Шестерка Кубков,Six of Cups,"Аркан означает внутреннюю гармонию, великодушие и щедрость. В действительности, карта отвечает за позитивное проявление. Можно считать, что все невзгоды уже в прошлом, а теперь только благополучие. Как только трудности отступили, человек вновь начинает мечтать и строить планы, довольствуется спокойствием и успехами своих трудов.

Человек стремится не к новизне, как это многим может показаться, просто он возродился к новой жизни после непростых обстоятельств. Он полностью удовлетворен своей судьбой, его все устраивает. Он занимается самосовершенствованием, реализует уже давно забытые планы и желания. Многое у него получается без особых усилий, с гармонией и подъемом.

Стоит надеяться на самые позитивное развитие событий, когда все будет складываться благополучно: человек добьется не только своей цели, но и обретет личное счастье. Ему повезет в делах, проектах и любви.","Человек уйдет от ответственности. Если он еще проживает с родителями, это может быть связано с бегством из родительского дома. Страхи под влиянием этого Аркана также присутствуют в душе человека, которые он пытается всячески забыть. И это может быть связано с насилием и жестоким обращением родителей. Он как бы стремится к будущему, но его цель – забыть о прошлом, ему хочется вычеркнуть его из своей памяти.

Шестерка кубков свидетельствует о новых возможностях и грядущих событиях. У человека расширяется мировоззрение, обновляется круг общения, появляются новые знания. Если он уже создал свою семью, то как бы сбежал от изначальной среды, покинул свое тяжелое детство и воспоминания. Он отвернулся от прошлого, чтобы жить по-другому.

Карта подразумевает такие понятия, как цинизм и агрессия в характере человека, которые могли быть вызваны пережитым унижением."
45,Пятерка Кубков,Five of Cups,"Аркан говорит о разочаровании, неожиданных неприятностях, меланхолии, печали, боли, скорби об утраченном. Возможно, у человека произойдет состояние сожаления из-за того, что его мечты и желания не осуществились, хотя он так на это рассчитывал.

С другой стороны чувство разочарования может появиться по поводу разлуки с чем-то очень важным и значимым. У человека проявляются разрушительные эмоции, эмоциональный кризис, депрессия, любовные страдания и гнев. Перед человеком открывается трудный промежуток времени, хотя и обещает светлую полосу. Но только в том случае, если человек сможет справиться со своими проблемами, а не будет пассивно страдать над ними.

Если без конца предаваться своим проблемам, то они никуда не уйдут, или навязчиво будут сопровождать его долгое время. А ведь он в состоянии справиться со своими неудачами и трудностями, если сам того пожелает. Человек полностью способен погрузиться в свои депрессивные мысли, отчего сам создает себе еще больше проблем.","У человека появляется уникальная возможность вернуться немного назад, все переосмыслить и взглянуть по-другому на ситуацию, которая уже когда-то в его жизни произошла. Самое неприятное, что несет эта карта – человек отрицает свои проблемы и лжет о своем благополучии.

Есть и приятные моменты Пятерки Кубков в перевернутом виде – перемирие с близкими людьми, приезд или возвращение откуда-нибудь лучшего друга, и просто какие-то важные известия издалека. Человеку также можно рассчитывать на материальную поддержку от друзей, они с удовольствием примут участие в его жизни. И если человек скрывает свои проблемы, то лишается такой хорошей поддержки и выручки, которую ему дарит перевернутый Аркан.

Не стоит отказываться от подарков судьбы, когда они сами идут в руки. Если и дальше продолжать обманывать окружающих, то проблем от этого меньше не станет, а только наоборот."
46,Четверка Кубков,Four of Cups,"Человек, которому выпал в раскладе такой Аркан, упускает большие возможности в своей жизни. Это происходит по причине того, что он слишком эгоистичен, заносчив, горд, считая себя излишне умным. Он обижен на многих людей, недоволен собой, что выражается в постоянном процессе самоанализа. Это создает большое количество комплексов и страхов.

Мотивация к чему-либо полностью отсутствует, самооценка опускается ниже критической отметки. Это может произойти из-за критики близкого человека, уязвленного самомнения и самолюбия. Такое поведение приводит в полной апатии ко всему, замкнутости и отрешенности, краху в любовных отношениях.

Четверка Кубков предупреждает гадающего человека о том, что нужно взять себя в руки, перестать ныть по поводу и без, чтобы не пропускать более подачек от судьбы.","Жизненные аспекты при перевернутой карте могут быть как хорошими, так и полностью неудачными для человека, делающего расклад. Аркан может указывать на упущенный шанс, который больше никогда не будет получен. Из-за этого начнется жалость к самому себе, депрессивные состояния.

Однако в некоторых случаях Четверка Кубков предзнаменует новые знакомства, даже любовные отношения, которые могут увенчаться успехом. Может необоснованно появиться мотивация к работе, возникнут новые амбиции."
47,Тройка Кубков,Three of Cups,"Карта символизирует, как правило, время радости, праздника. В любовных и дружеских отношениях будет полное взаимопонимание между партнерами. Все запланированные дела увенчаются успехом. Аркан дает подсказку гадающему человеку, что сейчас наступает благоприятное время, чтобы восстановить отношения со старыми друзьями, родственниками, ведь наступает светлая полоса в жизни.

Однако фортуна улыбнется гадающему только в духовном плане, не ожидайте повышения доходов. Но если в жизнь приходит успех, он коснется не только вас, но и самых близких и дорогих людей, их дела тоже наладятся. Следует помнить, что не бывает успеха без риска. Тройка Кубков выпадает перед важными событиями: свадьба, пополнение в семье.","Перевернутый Аркан предостерегает, что не следует в ближайшее время ожидать чего-то доброго и светлого, не все запланированные дела сбудутся. Они могут перенестись на более позднее время, могут отмениться совсем. Исполнению дел могут помешать абсолютно разные (даже совершенно абсурдные) причины.

Выпадает карта и в том случае, когда былые радости не приносят в настоящий момент жизни ничего кроме разочарования и страданий. Гадающий может скрывать от мира и самого себя свой огромный творческий потенциал.

Указывает Тройка Кубков и на неудачный роман, измену партнеру. Роман на стороне произойдет из-за эгоистичных позывов, что приведет к жалости по отношению к себе. Карта символизирует проблемы с деньгами, бесплодие, подлость со стороны человека, который гадающему знаком."
48,Двойка Кубков,Two of Cups,"Аркан свидетельствует о взаимной симпатии, перспективных связях, успешном сотрудничестве, мире, который наконец-то случается после длительных ссор и размолвок. Обязательно в жизни человека произойдут радостные события и встречи.

Карту считают положительной, так как она несет становление отношений, в которых могут быть задействованы как давние знакомые, так и новый круг общения.

В отношениях двух людей наступил период, когда обиды и амбиции нужно убрать в сторону, и уделить время своей семье и семейным ценностям. У человека будут намечаться перспективы, направления развития и талантов. Он даже сможет проявить свои новые никому еще не поведанные качества.

Многие неприятности с этой картой будут позади, ведь наступило время белой полосы. А значит, можно рассчитывать на успешное и результативное начало новых дел. Можно заниматься тем, чем хочется, и удача улыбнется.","Несмотря на перевернутую карту, не нужно думать, что она несет негатив. Возможно, и будут временные трудности, но в целом она вовсе не теряет своего позитивного значения полностью. Будут отсрочки, будут некоторые затруднительные ситуации, но все это будет разрешимым обстоятельством. Хуже другое, что под воздействием этого Аркана, человек становится ревнивым и подозревает своего партнера в предательстве, неверности (даже если это не так на самом деле).

В отношениях происходит заметная несогласованность, человек не уверен в искренности и порядочности любимого человека. В коллективных делах он недоволен действиями своих коллег, как впрочем, и своими в том числе. Он не идет навстречу другим людям и раздражительно реагирует на их недостатки.

Не исключено, что под воздействием Аркана человека ожидает разлука. Кроме того, он столкнется с трудностями, которые будут нести драматический характер."
49,Туз Кубков,Ace of Cups,"Туз Кубков – это знак внутренней энергии, открытости души ко всему новому, душевной гармонии и комфорта. Одним словом можно сказать, что это карта блаженства. Выпадающий в раскладе такой Аркан указывает на то, что счастье стоит у дверей гадающего. Это светлый луч, появляющийся в темной душе, он выдворяет оттуда всю печаль, уныние, злость, страхи.

На бытовом уровне Туз Кубков выпадает, когда ожидаются какие-то перемены в рутинной жизни. Те, которых очень ждут. Это вечеринка, застолье, свадьба лучшего друга, где удастся хорошо погулять. Это внезапно объявившийся хороший, но старый друг, который решил наладить связь.","Туз Кубков в перевернутом виде выпадает в том случае, когда судьбоносные встречи, возможности и любые блага будут отстрочены, в лучшем случае. А при худшем раскладе и вовсе пройдут мимо гадающего. Все, на что вы надеетесь – тщетно и бессмысленно. Ожидание чего-то светлого и хорошего принесет в итоге разочарование и моральную опустошенность.

Аркан указывает на то, что все возможности, которые в ближайшее время встретятся на жизненном пути, ни к чему не приведут, либо гадающий не сможет ими воспользоваться в полной мере. В повседневной жизни карта символизирует перепады настроения, раздражительность или апатию.

Возможно, настанет пора одиночества, которая повлечет за собой бурю эмоций и чувств в душе, самоанализ. Худший вариант – депрессия, склонность к наркотикам и алкоголю, когда человек искусственным путем пытается поднять себе настроение."
50,Король Мечей,King of Swords,"Король мечей говорит о высоком уровне интеллекта, объективности, разносторонности, гибком рациональном подходе к жизни. У человека под влиянием этого Аркана много интересов, он проницательная и разумная личность.

Как правило, карта выпадает авторитетному человеку, к которому многие люди обращаются за советом. И человек, действительно, способен дать мудрый совет, рекомендацию, подсказку, так как обладает недюжинным умом советчика и огромным жизненным опытом.

Карта имеет хорошее значение и правильно выбранную стратегию. Человек – целеустремленный, способный преодолевать многие препятствия. Он будет отличаться своими лидерскими качествами, а деньги, буквально, будут липнуть к рукам. Он – лидер, который сумел завоевать себе авторитет. И меч, который он имеет в руке – это не просто какой-то символ, это – оружие. Человек, которому выпал, Аркан осознает свою власть и лидерство.","Под воздействием перевернутой карты Короля мечей, человек становится хитрым, холодным циником. Он способен перешагнуть через что угодно ради собственных принципов, которые ему кажутся правильными и полезными.

Аркан связан с интригами, обманом и запугиванием. Кроме того, перевернутый Король мечей часто ассоциируют с несправедливостью (кого-то обидели или совершили насилие). Человек становится конфликтным и жестоким, он противостоит всему миру.
Кроме того, Аркан указывает человеку на то, что еще не настало время для активных действий, нет конкретной задачи. В перевернутом положении человек становится очень осмотрительным и боязливым. Мыслит он неправильно, его расчеты ошибочные, а эмоции наполнены истерикой и гневом. Человек ведет себя коварно, недобросовестно, беспринципно, злобно и жестоко."
51,Королева Мечей,Queen of Swords,"Королева мечей свидетельствует о независимой индивидуальности, у которой много мыслей и идей. Речь идет о сообразительном и прогрессивном человеке, обладающим аналитическим умом. За этой картой скрывается личность 30-45 лет, но бывают и исключения, это может быть человек значительно моложе этого возраста. А если карта выпала молодой персоне, это означает то, что она мудрая и умная не по годам.

Под воздействием Аркана человек не способен прислушиваться к собственной интуиции и внутреннему голосу. В его характере отсутствует доброта, милосердие, так как он следует рациональному подходу в жизни. Но, тем не менее, ему это не мешает добиваться своих целей, триумфа, идеалов.

При выпадении этой карты в раскладе, можно готовиться к трудным переговорам и конфликтам. Не будет легкого достижения результатов, но будут разумные действия и решения тех или иных вопросов. Человеку с Королевой мечей свойственно двигаться вперед, но в рамках каких-либо запретов и в соответствии с принятыми правилами.","Под воздействием перевернутой карты Королевы мечей, человек не способен правильно использовать свой интеллект. Можно сказать о том, что человек не глупый, но он не по назначению использует свои умственные способности. Он человек мстительный, мелочный, нетерпеливый, и стремится манипулировать другими людьми. Свой ум он использует не в мирных целях, это очевидно.Карта несет неприятные новости и отсутствие перспектив, неприятности с законом.

Даже может случиться так, что под воздействием Королевы мечей, любовь человека превратится в сущую ненависть. У него становится невыносимо тяжелый характер, узкое мышление, разрушительное озлобленное поведение. Он теряет контроль над ситуацией, так как стремится все контролировать, не исключены и потери. Разум получает ложную информацию, и человек становится рассеянным и обессиленным. Он умеет притворяться, готов пойти на месть и вероломство, коварство и преступность. Он даже словами способен «убить» человека, потому что они достаточно злобные и разрушительные."
52,Рыцарь Мечей,Knight of Swords,"Рыцарь мечей гласит об ораторстве человека, его интеллектуальных способностях, независимом и хитром характере. Человека с этим Арканом можно назвать технократом и циником, которыйспособен быть коварным, в чем-то легкомысленным. Нельзя назвать эту карту простой, у нее достаточно много аспектов.

Аркан связан с большим потенциалом, который истолкован как бунт, несогласие, противостояние чему-либо. Человек не пытается зарекомендовать себя, сделать себе имидж. И возможно, это проявляется из-за его эгоистичного характера, несмотря на то, что сам он пытается использовать свою энергию в мирных целях. Он наделен прекрасными умственными способностями, любить анализировать ситуацию и отстаивать свою точку зрения, напористый и вспыльчивый.

Под воздействием этого Аркана, очень стремительно развиваются стрессовые ситуации, превратности судьбы. Человек может просто загореться своими идеями так сильно, что переубедить его в обратном, невозможно.","Под воздействием перевернутой карты Рыцаря мечей, человек становится агрессивным, теряет остатки благоразумия. Если существует между людьми какая-то ссора, то она может перерасти в драку. А если человек кого-то недолюбливает, то способен не только распространять о нем неприятные сплетни, но и довести его до депрессии.

Невозможно с перевернутым Рыцарем мечей добиться желаемого результата, особенно в состоянии напора и агрессии. В жизни человека произойдет большой кризис, он будет неспособным и несостоятельным. Ему будут свойственны такие понятия, как опрометчивость и неосторожность, он будет совершать глупые, а порой и тупые поступки, совершать ошибочные ходы. Он до конца не понимает на чьей он стороне, проявляет свою слабость и нерешительность. Он избыточно соперничает со своими врагами и завидует тем людям, у которых есть последователи."
53,Паж Мечей,Page of Swords,"Карта характеризуется недвусмысленным указанием на обновление, недюжинный уми провокацию. Карта имеет разное значение, но есть и то, что объединяет каждого.

Когда выпадает этот Аркан, то можно судить о неординарной личности со значительным потенциалом. Речь может идти о человеке с непростым характером, и это, несомненно, выделяет его среди других людей. А еще карта может нести и более негативный характер, где человек и без того в непростой ситуации, пытается все усложнить, усугубить.

В более серьезных обстоятельствах он включает свое ребячество, вместо серьезных действий. Карта характеризует молодого человека, в основном женского пола, которая обладает аналитическим умом, весьма сообразительна, энергична и эмоциональна.","Под воздействием этой карты человек ссорится практически на пустом месте, ведет себя вздорно и мелочно. Ожидаются неприятные известия или события, которые не дадут сбыться уже намеченным планам.

Однако, эти неприятности будут скоротечными и незначительными, а значит, какие-то долгосрочные серьезные проблемы не предвидятся. Он может быть самонадеянным, вспыльчивым в зависимости от ситуаций.

Очень важно, чтобы человек проявлял осторожность в своих высказываниях, особенно если они касаются влиятельных людей, руководства. У некоторых сотрудников могут оказаться слишком «большие уши», и собственный язык принес вам массу неприятностей и проблем.

Перевернутая карта говорит о хитрых проделках, препятствиях в делах. Человек может утратить свою бдительность, неправильно поймет сказанные слова. Он способен высмеивать близкого себе человека и причинять ему боль, при том, что его самого никто не любит."
